1	1	-0.660998
2	1	-1.4814
3	1	0.29608
4	1	-0.506916
5	1	1.92269
6	1	0.624408
7	1	-1.09957
8	1	-0.720539
9	1	1.09493
10	1	-0.100798
1	2	0.17984
2	2	-0.0918809
3	2	-0.416886
4	2	0.278548
5	2	-1.65173
6	2	0.0486791
7	2	-2.47662
8	2	-0.905002
9	2	0.0301078
10	2	0.153938
1	3	-0.48638
2	3	0.0999736
3	3	-0.991573
4	3	-1.07098
5	3	-1.15245
6	3	1.5188
7	3	1.08369
8	3	-0.848518
9	3	1.23146
10	3	-0.759901
1	4	-0.78312
2	4	-0.79312
3	4	-0.96185
4	4	-1.2666
5	4	-0.0655733
6	4	-0.519063
7	4	-0.479666
8	4	1.05895
9	4	-1.3958
10	4	-1.62936
1	5	-1.40819
2	5	1.81593
3	5	-0.315928
4	5	-0.120906
5	5	0.908975
6	5	0.534129
7	5	-0.26686
8	5	-1.25393
9	5	-1.33265
10	5	0.271856
1	6	-1.51349
2	6	-1.47642
3	6	-0.852736
4	6	1.45234
5	6	-0.49507
6	6	0.536555
7	6	0.558671
8	6	0.275547
9	6	-0.592787
10	6	1.19193
1	7	-0.922004
2	7	0.818294
3	7	0.874071
4	7	1.41149
5	7	-0.0816218
6	7	1.03119
7	7	-0.577655
8	7	1.3275
9	7	0.683258
10	7	-1.4461
1	8	-1.41001
2	8	0.819932
3	8	-0.393141
4	8	-0.889353
5	8	-0.189241
6	8	-1.27217
7	8	-0.363792
8	8	1.06357
9	8	1.45266
10	8	1.1688
1	9	0.350289
2	9	0.316784
3	9	-1.99097
4	9	1.39295
5	9	0.775857
6	9	-1.16909
7	9	0.124039
8	9	-0.574081
9	9	0.785018
10	9	-0.970962
1	10	1.20264
2	10	0.488172
3	10	-1.45626
4	10	-0.258313
5	10	0.72584
6	10	1.55236
7	10	-0.622981
8	10	1.39612
9	10	-0.121691
10	10	0.916079
